ID,CODE,LOCALITY,STATION,HABITAT,DATE,LATITUDE,LONGITUDE,ELEVATION,TEMPERATURE,CONDUCTIVITY,TDS,SALINITY,DO,pH,CODE_species,macrura,mento,megarostris,neptunia,neptunoida,ovata,rotatoria,tardigrada,cf_neptunoida,RICHNESS,AET,PREC,MEAN_AIR_TEMP,SRAD,Chla,Phycocyanin_BGA.PC
139,C1_1_a,Bueng Chawark _ Suphan Buri,1,Vegetative swamp,28/05/15,14.925808,100.046654,NA,32,220,NA,0.09,5.9,6.83,C1_1_a,0,0,0,0,0,0,0,0,0,0,1083,912,27.81666676,19093.83333,NA,NA
140,C1_1_b,Bueng Chawark _ Suphan Buri,1,Vegetative swamp,19/12/15,14.925808,100.046654,NA,28.58,280,NA,0.12,4.48,6.91,C1_1_b,0,1,0,0,1,0,1,0,0,3,1083,912,27.81666676,19093.83333,NA,NA
141,C1_2_a,Bueng Chawark _ Suphan Buri,2,Vegetative swamp,28/05/15,14.922656,100.044616,NA,28.74,445,NA,0.2,0.84,5.83,C1_2_a,0,0,0,0,0,0,0,0,0,0,1083,912,27.83333333,19077.66667,NA,NA
142,C1_2_b,Bueng Chawark _ Suphan Buri,2,Vegetative swamp,19/12/15,14.922656,100.044616,NA,28.75,261,NA,0.11,6.67,6.91,C1_2_b,0,0,0,0,0,0,0,0,0,0,1083,912,27.83333333,19077.66667,NA,NA
143,C1_3_a,Bueng Chawark _ Suphan Buri,3,Vegetative swamp,28/05/15,14.920043,100.044155,NA,31.72,255,NA,0.1,5.72,7.32,C1_3_a,0,1,0,0,0,0,0,0,0,1,1083,912,27.83333333,19077.66667,NA,NA
144,C1_3_b,Bueng Chawark _ Suphan Buri,3,Vegetative swamp,19/12/15,14.920043,100.044155,NA,27.91,249,NA,0.11,4.51,6.38,C1_3_b,0,0,0,0,0,0,0,0,0,0,1083,912,27.83333333,19077.66667,NA,NA
165,C10,Phra Nakhon Si Ayutthaya,NA,Swamp,16/10/18,14.380083,100.558278,-3,31.96,222,128,0.09,3.72,7.33,C10,0,0,0,1,0,0,0,0,0,1,1108,997,28.04166683,18579.16667,NA,NA
166,C11_a,NN01 _ Nakhon Nayok,NA,Pond,28/04/18,14.27453,101.0488,8,29.611,333.36,199.33,0.14,4.97,7.36,C11_a,0,0,0,0,0,0,0,0,0,0,1237,1306,27.80000003,18511.75,4.01,0.72
167,C11_b,NN01 _ Nakhon Nayok,NA,Pond,14/07/18,14.27453,101.0488,8,29.723,329.8,196.67,0.14,3.44,6.96,C11_b,0,0,0,0,0,0,0,1,0,1,1237,1306,27.80000003,18511.75,7.71,0.63
168,C11_c,NN01 _ Nakhon Nayok,NA,Pond,06/10/18,14.27453,101.0488,8,31.537,293.43,169.33,0.12,4.63,7.74,C11_c,0,0,0,0,0,0,1,0,0,1,1237,1306,27.80000003,18511.75,7.11,0.24
169,C11_d,NN01 _ Nakhon Nayok,NA,Pond,12/01/19,14.27453,101.0488,8,28.094,353.87,217.33,0.16,4.89,7.11,C11_d,0,0,0,0,0,0,0,0,0,0,1237,1306,27.80000003,18511.75,6.22,0.58
170,C11_e,NN01 _ Nakhon Nayok,NA,Pond,20/04/19,14.27453,101.0488,8,32.54,413.67,235.33,0.17,5.67,6.27,C11_e,0,0,0,0,0,0,0,0,0,0,1237,1306,27.80000003,18511.75,5.56,0.31
